name,realTime,effectiveDateTime,frequencyValue,frequencyUnit,matchAll,condition,conditionDetail,frequencyCheck,triggerType
"变量触发",false,null,1,1,false,"G1 ==  true",1,false,2
"变量触发",false,,1,1,false,"G1 ==  true",2,false,2
"变量触发",false,,1,1,false,"G1 ==  true",3,false,2
"变量触发",false,,1,1,false,"G1 ==  true",1,true,2
"变量触发",false,,5,2,false,"G1 ==  true",1,true,2
"变量触发",false,,1,3,false,"G1 ==  true",1,true,2
"变量触发",false,,1,4,false,"G1 ==  true",1,true,2
"变量触发",false,,36,5,false,"G1 ==  true",1,true,2
"变量触发",false,,1,1,false,"G1 ==  true ||  H1 != '中文'",1,false,2
"变量触发",false,,1,1,false,"A1 + B1)  <=  0 ||  (A1 - B1) <= 0",1,false,2
"变量触发",false,,1,1,false,"(A1 * B1) > 0 &&  (A1 / B1)>0",1,false,2
"定时触发",false,"2023-05-22T06:15:31.000Z",1,1,false,,1,false,1
"定时触发",false,"2023-05-22T06:15:31.000Z",5,2,false,,1,false,1
"定时触发",false,"2023-05-22T06:15:31.000Z",1,3,false,,1,false,1
"定时触发",false,"2023-05-22T06:15:31.000Z",1,4,false,,1,false,1
"定时触发",false,"2023-05-22T06:15:31.000Z",36,5,false,,1,false,1
"定时触发",false,"2023-05-22T06:15:31.000Z",1,1,true,"G1 ==  true ||  H1 != '中文'",1,false,1
"定时触发",false,"2023-05-22T06:15:31.000Z",1,1,true,"A1 + B1)  <=  0 ||  (A1 - B1) <= 0",1,false,1
"定时触发",false,"2023-05-22T06:15:31.000Z",1,1,true,"(A1 * B1) > 0 &&  (A1 / B1)>0",1,false,1
"实时聚合",true,,1,2,false,,1,false,1