fieldName,fieldType,associatedVariable,formula
系统时间,3,System_DateTime,
班次,2,System_Shift,
A1,1,I1,
B1,1,F1,
G1,1,G1,
H1,2,H1,
绝对值B1,1,,ABS( [B1] )
随机数0_1,1,,RAND(  )
随机数1_100,1,,"RANDBETWEEN( 1,100 )"
四舍1位_ROUND,1,,"ROUND( [B1],1 )"
ROUNDUP1,1,,"ROUNDUP( [B1] ,1)"
ROUNDDOWN1,1,,"ROUNDDOWN( [B1] ,1)"
SUM1,1,,"SUM( [B1],[随机数1_100] )"
AVERAGE1,1,,"AVERAGE( [B1],[随机数1_100] )"
COUNT1,1,,"COUNT( [B1],[随机数1_100] )"
COUNTA1,1,,"COUNTA( [B1],[随机数1_100] )"
MAX1,1,,"MAX( [B1],[随机数1_100] )"
MEDIAN1,1,,"MEDIAN( [B1],[随机数1_100] )"
MIN1,1,,"MIN( [B1],[随机数1_100] )"
CHAR1,2,,"CHAR( 92 )"
CONCATENATE1,2,,"CONCATENATE( [H1],'123')"
LEFT2,2,,"LEFT( [H1],2 )"
LEN1,2,,"LEN( [H1] )"
LOWER1,2,,"LOWER( [H1] )"
MID12,2,,"MID( [H1],1,2 )"
REPLACE1,2,,"REPLACE( [H1],1,2,'替换' )"
RIGHT1,2,,"RIGHT( [H1],2 )"
TEXT1,2,,"TEXT( '2022-10-20','M月d日' )"
TODATE1,2,,"TODATE( '2023-06-19')"
TRIM1,2,,"TRIM( [H1] )"
UPPER1,2,,"UPPER( [H1] )"
DATE1,2,,"DATE( 2023,6,19 )"
DATEDIF1,2,,"DATEDIF( '2022-01-01','2023-10-01', 'Y')"
DAY1,2,,"DAY( [系统时间] )"
DAYS1,2,,"DAYS( '2023-06-19','2023-06-01' )"