title,name,description,typeName,initType,setValue
校验变量名为空,,校验变量名为空,有符号8位整型,0,null
校验变量名重复,ee1,校验变量名重复,有符号8位整型,0,null
设定值为空,ee2,设定值为空,有符号8位整型,1,
二进制-设定值为空,ee2,设定值为空,二进制变量,1,
二进制-设定值非法,ee2,设定值非法,二进制变量,1,2
int8-设定值为空,ee2,设定值为空,有符号8位整型,1,
int8-设定值非法,ee2,设定值非法,有符号8位整型,1,128
int8-设定值非法,ee2,设定值非法,有符号8位整型,1,-129
int8-设定值非法,ee2,设定值非法,有符号8位整型,1,10.5
int8-设定值非法,ee2,设定值非法,有符号8位整型,1,中文
unint8-设定值为空,ee2,设定值为空,无符号8位整型,1,
unint8-设定值非法,ee2,设定值非法,无符号8位整型,1,256
unint8-设定值非法,ee2,设定值非法,无符号8位整型,1,-1
unint8-设定值非法,ee2,设定值非法,无符号8位整型,1,10.5
unint8-设定值非法,ee2,设定值非法,无符号8位整型,1,中文
int16-设定值为空,ee2,设定值为空,有符号16位整型,1,
int16-设定值非法,ee2,设定值非法,有符号16位整型,1,32768
int16-设定值非法,ee2,设定值非法,有符号16位整型,1,-32769
int16-设定值非法,ee2,设定值非法,有符号16位整型,1,10.5
int16-设定值非法,ee2,设定值非法,有符号16位整型,1,中文
unint16-设定值为空,ee2,设定值为空,无符号16位整型,1,
unint16-设定值非法,ee2,设定值非法,无符号16位整型,1,65536
unint16-设定值非法,ee2,设定值非法,无符号16位整型,1,-1
unint16-设定值非法,ee2,设定值非法,无符号16位整型,1,10.5
unint16-设定值非法,ee2,设定值非法,无符号16位整型,1,中文
int32-设定值为空,ee2,设定值为空,有符号32位整型,1,
int32-设定值非法,ee2,设定值非法,有符号32位整型,1,2147483648
int32-设定值非法,ee2,设定值非法,有符号32位整型,1,-2147483649
int32-设定值非法,ee2,设定值非法,有符号32位整型,1,10.5
int32-设定值非法,ee2,设定值非法,有符号32位整型,1,中文
unint32-设定值为空,ee2,设定值为空,无符号32位整型,1,
unint32-设定值非法,ee2,设定值非法,无符号32位整型,1,4294967296
unint32-设定值非法,ee2,设定值非法,无符号32位整型,1,-1
unint32-设定值非法,ee2,设定值非法,无符号32位整型,1,10.5
unint32-设定值非法,ee2,设定值非法,无符号32位整型,1,中文
int64-设定值为空,ee2,设定值为空,有符号64位整型,1,
int64-设定值非法,ee2,设定值非法,有符号64位整型,1,9223372036854775808
int64-设定值非法,ee2,设定值非法,有符号64位整型,1,-9223372036854775809
int64-设定值非法,ee2,设定值非法,有符号64位整型,1,10.5
int64-设定值非法,ee2,设定值非法,有符号64位整型,1,中文
unint64-设定值为空,ee2,设定值为空,无符号64位整型,1,
unint64-设定值非法,ee2,设定值非法,无符号64位整型,1,18446744073709551616
unint64-设定值非法,ee2,设定值非法,无符号64位整型,1,-1
unint64-设定值非法,ee2,设定值非法,无符号64位整型,1,10.5
unint64-设定值非法,ee2,设定值非法,无符号64位整型,1,中文
float32-设定值为空,ee2,设定值为空,F32位浮点数IEEE754,1,
float32-设定值非法,ee2,设定值非法,F32位浮点数IEEE754,1,3.40282346638528E+39
float32-设定值非法,ee2,设定值非法,F32位浮点数IEEE754,1,-3.40282346638528E+39
float32-设定值非法,ee2,设定值非法,F32位浮点数IEEE754,1,中文
float64-设定值为空,ee2,设定值为空,F64位浮点数IEEE754,1,
float64-设定值非法,ee2,设定值非法,F64位浮点数IEEE754,1,1.7976931348623157E+309
float64-设定值非法,ee2,设定值非法,F64位浮点数IEEE754,1,-1.7976931348623157E+309
float64-设定值非法,ee2,设定值非法,F64位浮点数IEEE754,1,中文
字符串-设定值为空,ee2,设定值为空,字符串,1,
宽字符串-设定值为空,ee2,设定值为空,宽字符串,1,
日期-设定值为空,ee2,设定值为空,日期,1,
日期-设定值非法,ee2,设定值非法,日期,1,2023.01
时间-设定值为空,ee2,设定值为空,时间,1,
时间-设定值非法,ee2,设定值非法,时间,1,18.10
日期时间-设定值为空,ee2,设定值为空,日期时间,1,
日期时间-设定值非法,ee2,设定值非法,日期时间,1,2023.01