title,index,name,description,typeName,address,interval,stringLength,zoom,digit,readWriteRule,io_id
缩放比10,1,B1,缩放比10,有符号8位整型,400080,1000,null,10,null,1,B1_id
缩放比0.1,2,B2,缩放比0.1,有符号8位整型,400081,1000,null,0.1,null,1,B2_id
缩放比小数位，舍位,3,B3,缩放比小数位，舍位,有符号16位整型,400082,1000,null,0.01,1,1,B3_id
缩放比小数位，四舍,4,B4,缩放比小数位，四舍,有符号16位整型,400083,1000,null,0.01,1,2,B4_id
缩放比小数位，进位,5,B5,缩放比小数位，进位,有符号16位整型,400084,1000,null,0.01,1,3,B5_id
浮点数小数位，舍位,6,B6,浮点数小数位，舍位,F32位浮点数IEEE754,400085,1000,null,1,2,1,B6_id
浮点数小数位，四舍,7,B7,浮点数小数位，四舍,F32位浮点数IEEE754,400087,1000,null,1,2,2,B7_id
浮点数小数位，进位,8,B8,浮点数小数位，进位,F32位浮点数IEEE754,400089,1000,null,1,2,3,B8_id
二进制,9,A1,二进制,二进制变量,400001.0,1000,null,null,null,1,A1_id
有符号8位整型,10,A2,有符号8位整型,有符号8位整型,400002,1000,null,1,null,1,A2_id
无符号8位整型,11,A3,无符号8位整型,无符号8位整型,400003,1000,null,1,null,1,B3_id
有符号16位整型,12,A4,有符号16位整型,有符号16位整型,400004,1000,null,1,null,1,A4_id
无符号16位整型,13,A5,无符号16位整型,无符号16位整型,400005,1000,null,1,null,1,A5_id
有符号32位整型,14,A6,有符号32位整型,有符号32位整型,400013,1000,null,1,null,1,A6_id
无符号32位整型,15,A7,无符号32位整型,无符号32位整型,400015,1000,null,1,null,1,A7_id
有符号64位整型,16,A8,有符号64位整型,有符号64位整型,400025,1000,null,1,null,1,A8_id
无符号64位整型,17,A9,无符号64位整型,无符号64位整型,400029,1000,null,1,null,1,A9_id
F32位浮点数IEEE754,18,A10,F32位浮点数IEEE754,F32位浮点数IEEE754,400045,1000,null,1,null,1,A10_id
F64位浮点数IEEE754,19,A11,F64位浮点数IEEE754,F64位浮点数IEEE754,400049,1000,null,1,null,1,A11_id
字符串,20,A12,字符串,字符串,400060,1000,10,null,null,1,A12_id