title,name,value,result_vaule,allSuccess,errorMsg
aa2-有符号8位整型,aa2,126.5,126.5,false,"请输入正确的值, 应在-128 - 127"
aa2-有符号8位整型,aa2,128,128,false,"请输入正确的值, 应在-128 - 127"
aa2-有符号8位整型,aa2,-129,-129,false,"请输入正确的值, 应在-128 - 127"
aa3-无符号8位整型,aa3,254.5,254.5,false,"请输入正确的值, 应在0 - 255"
aa3-无符号8位整型,aa3,256,256,false,"请输入正确的值, 应在0 - 255"
aa3-无符号8位整型,aa3,-1,-1,false,"请输入正确的值, 应在0 - 255"
aa4-有符号16位整型,aa4,32766.5,32766.5,false,"请输入正确的值, 应在-32768 - 32767"
aa4-有符号16位整型,aa4,32768,32768,false,"请输入正确的值, 应在-32768 - 32767"
aa4-有符号16位整型,aa4,-32769,-32769,false,"请输入正确的值, 应在-32768 - 32767"
aa5-无符号16位整型,aa5,65534.5,65534.5,false,"请输入正确的值, 应在0 - 65535"
aa5-无符号16位整型,aa5,65536,65536,false,"请输入正确的值, 应在0 - 65535"
aa5-无符号16位整型,aa5,-1,-1,false,"请输入正确的值, 应在0 - 65535"
aa6-有符号32位整型,aa6,2147483647.5,2147483647.5,false,"请输入正确的值, 应在-2147483648 - 2147483647"
aa6-有符号32位整型,aa6,2147483648,2147483648,false,"请输入正确的值, 应在-2147483648 - 2147483647"
aa6-有符号32位整型,aa6,-2147483649,-2147483649,false,"请输入正确的值, 应在-2147483648 - 2147483647"
aa7-无符号32位整型,aa7,429496724.5,429496724.5,false,"请输入正确的值, 应在0 - 4294967295"
aa7-无符号32位整型,aa7,4294967296,4294967296,false,"请输入正确的值, 应在0 - 4294967295"
aa7-无符号32位整型,aa7,-1,-1,false,"请输入正确的值, 应在0 - 4294967295"
aa8-有符号64位整型,aa8,9223372036854775806.5,9223372036854775806.5,false,"请输入正确的值, 应在-9223372036854775808 - 9223372036854775807"
aa8-有符号64位整型,aa8,9223372036854775808,9223372036854775808,false,"请输入正确的值, 应在-9223372036854775808 - 9223372036854775807"
aa8-有符号64位整型,aa8,-9223372036854775809,-9223372036854775809,false,"请输入正确的值, 应在-9223372036854775808 - 9223372036854775807"
aa9-无符号64位整型,aa9,18446744073709551614.5,18446744073709551614.5,false,"请输入正确的值, 应在0 - 18446744073709551615"
aa9-无符号64位整型,aa9,18446744073709551616,18446744073709551616,false,"请输入正确的值, 应在0 - 18446744073709551615"
aa9-无符号64位整型,aa9,-1,-1,false,"请输入正确的值, 应在0 - 18446744073709551615"
aa10-F32位浮点数IEEE754,aa10,3.40282346638528E+39,3.40282346638528E+39,false,"请输入正确的值, 应在-3.4028234663852886E+38 - 3.4028234663852886E+38"
aa10-F32位浮点数IEEE754,aa10,-3.40282346638528E+39,-3.40282346638528E+39,false,"请输入正确的值, 应在-3.4028234663852886E+38 - 3.4028234663852886E+38"
aa11-F64位浮点数IEEE754,aa11,1.7976931348623157E+309,1.7976931348623157E+309,false,"请输入正确的值, 应在-1.7976931348623157E+308 - 1.7976931348623157E+308"
aa11-F64位浮点数IEEE754,aa11,-1.7976931348623157E+309,-1.7976931348623157E+309,false,"请输入正确的值, 应在-1.7976931348623157E+308 - 1.7976931348623157E+308"